"Time Stamp",WR_COMBINED,WR_COMBINED_AVC,"WR_SOLAR ","WR_SOLAR _AVC","WR_WIND ","WR_WIND _AVC",WR-ISTS_COMBINED,WR-ISTS_COMBINED_AVC,"WR-ISTS_SOLAR ","WR-ISTS_SOLAR _AVC","WR-ISTS_WIND ","WR-ISTS_WIND _AVC","Madhya Pradesh_SOLAR ","Madhya Pradesh_SOLAR _AVC","Madhya Pradesh_WIND ","Madhya Pradesh_WIND _AVC","Maharastra_SOLAR ","Maharastra_SOLAR _AVC","Maharastra_WIND ","Maharastra_WIND _AVC","Gujarat_SOLAR ","Gujarat_SOLAR _AVC","Gujarat_WIND ","Gujarat_WIND _AVC",OKWPL_RE-WIND_WIND,OKWPL_RE-WIND_WIND_AVC,Acme_RUMS-SOLAR_SOLAR,Acme_RUMS-SOLAR_SOLAR_AVC,Arinsun_RUMS-SOLAR_SOLAR,Arinsun_RUMS-SOLAR_SOLAR_AVC,Mahindra_RUMS-SOLAR_SOLAR,Mahindra_RUMS-SOLAR_SOLAR_AVC,RPL_SECI-II_RE-WIND_WIND,RPL_SECI-II_RE-WIND_WIND_AVC,GIWEL_SECI-II_RE-WIND_WIND,GIWEL_SECI-II_RE-WIND_WIND_AVC,IWISL-WIND_WIND,IWISL-WIND_WIND_AVC,GIWEL_SECI-III_RE-WIND_WIND,GIWEL_SECI-III_RE-WIND_WIND_AVC,AGEMPL-WIND_WIND,AGEMPL-WIND_WIND_AVC
03:00,4551.54,20687.3,0,5857,4551.54,14829.3,257.55,2037.3,0,750,257.55,1287.3,0,1510,2110.98,2414,0,1355,1224.35,4895,0,2243,958.66,6233,49.673648504,250.00,0,250.00,0,250.00,0,250.00,34.299688108,184.50,44.13670185000001,250.00,18.056400382,200.00,50.119265413,300.30,26.973377555,176.00
03:15,4533.47,20687.3,0,5857,4533.47,14829.3,253.06,2037.3,0,750,253.06,1287.3,0,1510,2111.23,2414,0,1355,1220.76,4895,0,2243,948.42,6233,51.43357730100001,250.00,0,250.00,0,250.00,0,250.00,33.717239745499995,184.50,46.766595047,250.00,17.663002903,200.00,51.566842384999994,300.30,26.973834369,176.00
03:30,4523.589999999999,20687.3,0,5857,4523.589999999999,14829.3,251.15,2037.3,0,750,251.15,1287.3,0,1510,2105.11,2414,0,1355,1220.47,4895,0,2243,946.86,6233,52.361176793,250.00,0,250.00,0,250.00,0,250.00,33.4445375405,184.50,47.67867802600001,250.00,17.220442831,200.00,51.641971506999994,300.30,26.815192909999997,176.00
03:45,4508.24,20687.3,0,5857,4508.24,14829.3,248.67,2037.3,0,750,248.67,1287.3,0,1510,2103,2414,0,1355,1220.77,4895,0,2243,935.8,6233,52.651575356,250.00,0,250.00,0,250.00,0,250.00,34.0344307455,184.50,46.879592138,250.00,16.472955314000004,200.00,51.155379916,300.30,25.969772254,176.00
04:00,4511.22,20687.3,0,5857,4511.22,14829.3,246.18,2037.3,0,750,246.18,1287.3,0,1510,2103.84,2414,0,1355,1220.35,4895,0,2243,940.85,6233,52.37082658700001,250.00,0,250.00,0,250.00,0,250.00,34.178371269500005,184.50,45.89485098800001,250.00,15.786914383,200.00,50.046142425,300.30,25.05899692,176.00
04:15,4508.64,20687.3,0,5857,4508.64,14829.3,243.7,2037.3,0,750,243.7,1287.3,0,1510,2103.85,2414,0,1355,1218.32,4895,0,2243,942.77,6233,52.041165062,250.00,0,250.00,0,250.00,0,250.00,34.124390446999996,184.50,44.766888667,250.00,15.222265753,200.00,49.009754216999994,300.30,24.285519923000003,176.00
04:30,4518.429999999999,20687.3,0,5857,4518.429999999999,14829.3,243.08,2037.3,0,750,243.08,1287.3,0,1510,2127.59,2414,0,1355,1215.11,4895,0,2243,932.65,6233,51.755774392000006,250.00,0,250.00,0,250.00,0,250.00,33.8968618445,184.50,44.2299802,250.00,14.739380998000001,200.00,48.959401834000005,300.30,23.297710533,176.00
04:45,4490.33,20687.3,0,5857,4490.33,14829.3,241.5,2037.3,0,750,241.5,1287.3,0,1510,2124.23,2414,0,1355,1209.25,4895,0,2243,915.35,6233,51.324560167,250.00,0,250.00,0,250.00,0,250.00,32.8112631475,184.50,43.946465093,250.00,14.334536975000002,200.00,49.493044905999994,300.30,22.460701987999997,176.00
05:00,4472.83,20687.3,0,5857,4472.83,14829.3,240.46,2037.3,0,750,240.46,1287.3,0,1510,2123.92,2414,0,1355,1204.31,4895,0,2243,904.14,6233,50.451422654,250.00,0,250.00,0,250.00,0,250.00,31.6944793435,184.50,43.346663707999994,250.00,14.004167366,200.00,49.339628149999996,300.30,22.036807982,176.00
05:15,4439.27,20687.3,0.06,5857,4439.21,14829.3,238.49,2037.3,0.06,750,238.43,1287.3,0,1510,2116.58,2414,0,1355,1199.42,4895,0,2243,884.78,6233,49.399291275,250.00,0.019153680000000003,250.00,0.021241376000000003,250.00,0.018193188000000002,250.00,31.024578284,184.50,42.964924027,250.00,13.487591654000001,200.00,49.523133353999995,300.30,21.641964289999997,176.00
